airline_sentiment,clean_tweet
neutral,is it possible to upfare to P a segment where I have a GPU waitlisted?
positive,"Bringing your ""A"" game with premium cabin dining. Nice!"
negative,you already have vomit so you are halfway there
negative,is amazing how hard is to talk with customer service! !!
negative,"fair enough, but it stinks to be the passenger on the plane that leaves the gate then sits on the tarmac for an hour before takeoff"
negative,they held the flight for our group of nearly people.
negative,you guys suck. You delay flights but can not hold the connectors minutes???
neutral,I Want a Plane dad
negative,"time for a rant...you delayed my flight and still forgot my luggage...then delayed on the Tarmac, moments I love you United"
negative,"it was an international flight, and we did not get our new eta until we were in the air."
positive,- I think she was having a rough moment w/ a bad passenger from an earlier flight. Things got considerably better. Thanks!
negative,- thanks for the rude customer service and hour delay. It really helped me timing wise for my afternoon meetings. Hello !
negative,"Useless response. I need a functioning wheelchair, not a customer care form to fill out."
positive,"awesome. Thx. And thx for replying so damn fast, sure as hell beats s cheeze hold music!!"
neutral,"What does ""Cabin Functionality"" mean when I am taking a customer satisfaction survey?"
negative,$ cab ride to dfw from love got me my bag. Reimburse?
positive,thanks for not getting my BusinessFirst priority tagged bag onto my connecting flight at EWR despite a + hour layover. Nice job
positive,"amazing flying over , miles on &amp; alliance last year; still got jilted out of status!"
negative,"On top of this, a CSR went ahead and hung up on me after I called United to discuss this."
negative,now finally in memphis. Landed minutes ago. Still no bags. Paying for a service that just gets worse...
negative,"thanks for a terrible experience at EWR. Customers should be treated as a priority, not as an inconvenience"
neutral,"Some rd party service known as EZEE flights. A man, who confirmed he was born in India, told me his name was Steve Wilson."
negative,The third wheelchair is broken!
positive,"She met me from customer service at the arrival of flight UA PVD-IAD. Thanks, you guys have really handled this storm!"
negative,"my flight was at pm. Still at the airport gee what service. Do they care, nope. Delayed until : ."
negative,very disappointed in CC. Purchased ticket online w/ voucher and charge full amnt. Would not hold price after refund. Unacceptable
negative,exactly it states a secure document is a nexus card. It does not state a passport must always be also presented. Read it
neutral,"We were told by United to ""carry over/carry back"" for the refund."
neutral,"no, I had to leave for work. Would have not been possible. So I would love to have this replaced now"
negative,I feel completely cheated I read your commitment to customer service via website and def did not get service suggested there.
negative,. of your agents said we would be refunded. Agents said United should never have sold us the ticket.
negative,if your air traffic crew could get their shit together no one would notice the rudeness of the ground staff
negative,IT-problems with the link?
negative,"I feel very well informed. yes, the flight is indeed delayed. Thank you."
negative,Why do I pay more for Coach Plus to be told preboarding that all overhead bins will be full for me
negative,can I get some help changing a ticket. minutes on hold and counting....
positive,thanks for all the help! Totally appreciate it and you made it super easy too
negative,was told by Supervisor that United disconnected their customer support # so there was nobody to address it now.
negative,Your MileagePlus signup page is broken.
negative,$ for wifi just so I can tell my family I am gonna be Late Flight cause i had to sit in a grounded plane for the past two hours...
negative,FYI: continuous texts and emails I am getting about the delay while held captive on the tarmac are not that helpful.
negative,"so, not only were you Late Flight, you broke my luggage handle. You paying for a new one?"
negative,No friendly skies from you today. hr+ weather delay in SFO followed by hr+ mechanical delay while sitting on plane.
negative,once again your customer service rep was rude! I asked a question and in turn got attitude. Jane was no help. Disgusted again!
negative,can you not see the thread?
negative,poor old United: never seem to get the response right :)
negative,obviously the staff at EWR - United or otherwise have not seen your ads about - being FRIENDLY and helpful worst airport
negative,also why can not I pre-select seats on SFO-&gt;YYZ flight? I am a Canadian Flight Booking Problems on
neutral,does forelock guarantee the fare only or fare &amp; seats?
negative,"Hypocrisy RT I am sorry, we are not able to offer a full refund because the exchange rate is not what you were hoping for. ^KP"
negative,I should not have to spend my own $$$ on a hotel because of a weather delay. The weather being something COMPLETELY OUT OF MY CONTROL
negative,eventually. You should approach bags like they get it.
negative,What if my NYC flight is delayed and I miss my connection to Sacramento from Chicago?
negative,said they would give us a refund. days Late Flightr NO refund.
negative,how can you not know the weight of our plane after us sitting on the plane for . hrs? Not convinced your company is safe for flt.
negative,we showed up to our flight several hours early. Tried to call &amp; was on hold min b/f call disconnected.
negative,"if your policy changed, you must advise at the time of purchase. Same if you choose to vary it by airport! We want a FULL refund!!"
negative,"wanted to, but you Cancelled Flightled my tickets.... They were too special i guess even for united."
negative,I am / for Flight Booking Problems without major problems. % is not bad!dd
negative,do not check your baggage if you do not have to. They will lose it!
negative,I am hoping we do not miss our LAX - ITO connection. Not looking forward to being stuck at LAX overnight with our team....AGAIN!
negative,well perhaps you could highlight where that is stated. We travel between Canada &amp; USA on United with only Nexus
negative,"how can you not know, after two hours of us sitting on the plane with no bags off loaded, the planes weight?!"
negative,You make it hard to fly with you. Delayed over an hour and now the plane is turning around &amp; heading back to the gate. ?
negative,Serious firing needs to happen at HNL. They broke the wheelchair you loaned me after you broke mine!
negative,"Call customer service and of course they just say ""theres nothing we can do"" and then offer a transfer and disconnect the line."
negative,"Now submitted for the third time, please check and confirm receipt. Have taken screen shots in case it disappears again. Thanks"
negative,if our already rescheduled flight is Cancelled Flightled is our hotel room paid for?
positive,Elizabeth at Washington Dulles just hooked me up with a new connecting flight at my gate! I am super pleased!
neutral,"Does the economy plus cabin also qualifies as a ""premium"" cabin?"
negative,flight UA been sitting on tarmac for mins with no report as to why...any input?
negative,A rd party service you use to sell your tickets has ripped me off. Excellent service United is offering.
neutral,"Yesterday, I am sorted now."
negative,"thanks for that advice, so helpful. can not believe you guys actually charge people to ""fly"" united"
negative,If you have had any issues with United Airlines PLEASE retweet. Paid for a full fight ticket and was given a standby instead.
negative,just tried to log in and was told e-mail log in not currently available
negative,so why did you Cancelled Flight tickets for thousands of people when you did not like the exchange rate?
neutral,do you have an e-mail address I can write my account to? Might be less likely to disappear
negative,"so I wasted mins filling in online forms you are telling me you did not receive, how do I know this will not happen this time?"
neutral,"from amsterdam to ewr, . . , - ."
negative,stuck here in IAH waiting on flight to Honolulu for hours due to maintenance issues. Could we have gotten a new plane!?!? Fail
negative,What kind of hypocrisy is that? Only Cancelled Flightling tickets with bad exchange rate if in your advantage
negative,No. The entire problem here is that I was never sent anything via email and only given a Flight Booking Problems number over the phone.
negative,calling that number was useless. Heading to the airport now to pick up my bags. this whole situation seems like a real joke.
negative,They could not get me first class on any of their flights so I just rebooked myself.
neutral,but the gate agent and club staff got me priority standby for next so might only be minor disaster...
negative,I will be sending/posting complete details of the circumstances surrounding this matter. United airlines should be ashamed.
negative,Hidden City forces me into crappy seat even though exit row is available on the first leg. Your support cannot fix. :-(
positive,JT thanks for your help Iall complete the form once we are back home
negative,"missed it. Incoming on time, then Sat for , then no jetbridge driver...missed a min connection from an on time flight..."
neutral,Ladies and gents - United Airlines...
positive,You might be dealing with frustrated passenegers. hope you all have a great day :) thank you very much for an amazing airline :)
neutral,Allright! Last question : the power outlets on my flight are available in the premium cabin. Does that include economy plus cabin?
neutral,"Well, it is LA and then a hr+ car ride to a dark Palm Springs technically. Maybe I will get bumped to st class Den to PHL on Friday:)"
negative,yes still need assistance I do not have a flight home due to change in flight u made I miss all connections !
neutral,I believe you have to follow me in order for me send you a DM
negative,thanks! We would like an apology and a full refund. Please confirm when we will receive.
neutral,"Hi, can you email me here so i can share the details? Thanks. frank com"
negative,But I got a bad exchange rate so want my money back. Please can you refund without penalty.
negative,"My flight UA to Denver for has been re-cheduled times. If I am no show, you will know why! Ridiculous."
negative,you are just using automated responses and do not have the decency to actually care/respond
negative,JT the issue is with missed connections early gate closings and zero concern from customer service
negative,"here I was thinking how I could say so many nice things after getting upgraded, but then you delayed my flight... it is ok!"
neutral,Can you explain how it rewards us elite Premiere K members?
neutral,for our birthdays my fiancA(C) &amp; I want to travel Late Flight April. you are our fave airline but Frontier has this: :-/
neutral,Iam resending the confirmation code in a DM
negative,I did DM the details back on / when this started with phone number to reach me no reply either online or by phone
neutral,Airlines' CEO Jeff Smisek: Disloyal to Loyal Workers via @HuffPostBiz
neutral,"The guidelines say x x , my bag is x . x . , so it is a bit taller than the guidelines. Is that gonna be a problem?"
positive,thank you! I wish the lady in Little Rock had told me that in the morning when I asked her
negative,no claim number. Haven't been back to iAd baggage since. Is there a phone I can call to speak to someone?
neutral,"do you think there Will problems at Newark, NJ on Saturday due to expected snow?"
neutral,Got it. I am following the United page.
positive,"Thank you for the speedy response! I figured it may be something of that nature. You guys and your ""fine print,"" haha"
negative,worst service ever d
negative,thanks for your attention. I would actually like to make a specific complaint about customer service at DCA. What is my best option?
negative,can not believe United can not find someone to just simply check a seat back for a missing passport. Loved United but debating choice
negative,I am furious. you are firm is a disgrace. Despite all our efforts you did zero to protect our daughter. All alone at night # United
positive,holy high speed internet batman! Speeds at United Club at IAD are insanely fast! Thanks
negative,Your website Flight Booking Problems experience is an obnoxious upsell-laden disaster for anyone with half a brain.
neutral,like weeks after my flight!?!? Creative!
negative,Flt is having some MAJOR delays bc ground crew was so SLOW. The flight crew has been terrific. Been hours on the ground..d!...
negative,"sorry, I hate united. i will not get to see my family until Thursday"
positive,Thanks for the timely service &amp; great staff getting my wife and me to and from Cancun this past week for our honeymoon.
positive,"done just now, thanks."
neutral,Currently on standby to Lax then it is a hour ride to Palm Springs. Long day starting at a snowy : am in philly.
negative,"Your customer service for Mileage Plus customers is a disgrace. I just spent min on the phone to reset a pin number, with no luck"
neutral,"No, I do not. I was only given a Flight Booking Problems reference number."
negative,All these changes. Way to stick it to your Premiere K loyal customers. Why make things harder for those that loyal to you?
negative,"thanks for the offer, but I finally made it to my destination, albeit hours Late Flight."
negative,Airlines Cancelled Flights OC FLL today. $ to switch. No notice no apology. We are done flying .
neutral,can you send me another confirmation email?
negative,it would be super if you paid as much attention to actual fliers as you do to credit card holders.
negative,I travel a lot and I get it. you are still my fave but EWR to Cleveland w/ min layover to connect to DC = our best option? Come on.
negative,"pm and my bags still not here. not even a courtesy toiletries kit. not the flight experience I was expecting, very disappointed."
negative,Airlines Cancelled Flights OC FLL today. $ to switch. No notice no apology. Done flying .
neutral,"sorry, wrong link for the bag : Thats the one i meant"
negative,"flight LAX-IAD, back rows NOT CLEANED prior to boarding. How gross is that to find used tissues in your seat? Please."
neutral,"take a lesson from , they know how to treat customers!"
negative,plus you horrible seating and poor customer service everywhere I have flown. now you take away the mileage program..horrible
negative,you would learn if you listen to your customers...you do want you want... asks their customer what they want
negative,Priceless. United stranded my daughter at O'Hare. United did zero to keep her safe.....alone on a plastic chair for h! # United Air
neutral,"Hi again, any updates here?"
neutral,Could you tell me if this bag would be accepted as a personal item ? Can i bring one carry-on bag plus this?
negative,which you finally Cancelled Flightled.
negative,. what link? Those are all the email offers u sent me in a year to buy/transfer miles.The last just expired
negative,thanks finally made it.. Missed meetings but what can I do now?
negative,Our flight was originally supposed to leave at : pm &amp; now we will not leave until . This is the nd time this has happened
negative,"Supposedly, they are out for delivery. I will believe it when I see it."
negative,"Thank you. Yes, I was hoping to speak with someone directly, but appreciate the link nonetheless. :)"
positive,Sure did! Only waited about min. Yay!
negative,"Hi JH, my experience with United has been entirely disgusting but yes, I would like assistance in getting compensated for my bag."
positive,took this picture on Thursday.
negative,probably would not be doing it had someone returned my call or email. Case number
negative,"I can not even fit my name on the first two lines, yes... Please do pass on feedback. This is a big downgrade from previous years."
positive,Is expiring the offer to buy or transfer miles with discount? Many offers during a year
negative,"no, it was flight Cancelled Flightlations (one due to weather, one mechanical) paid own hotel, bag held in transfer. No voucher/compensation"
negative,i got email that my reservations got Cancelled Flightled and i will be refunded. Nothing got refunded as of yet
negative,So what do you offer now that my flight was Cancelled Flighted and I am stranded away from home and work?
negative,you are really trying me today.
positive,looks like I am settled in to where I am going. Thx.
neutral,flt has had two more updates in the last minutes.
negative,no they were to busy taking to each other and I needed to get to an audition.
neutral,was never given one
negative,quick response offering assistance but lack of follow through - not really the service I was expecting
negative,Stuck in IAD going on hours waiting for a ferry flight from Nashville that u can not tell when it will arrive?!! Ridiculous!!
negative,"flt no gate agent, no announcements. So unprofessional. Time to go back to @Delta"
positive,"Thanks, ^KP. Please also mention the Quiche breakfast and Tandoori chicken dinner entrees and accompaniments are truly First Class."
negative,flt. departure time has changed five times in the last minutes. Why do not you figure out a solution and announce once?
negative,bags are still in Houston since Friday and still have not been reimbursed the baggage fee.
negative,who can tell me where they are?
negative,"flight have already been Cancelled Flightled once, been trying to get home two days. Staff being very unhelpful."
negative,each flight is worse than last! flight attendants do not even know whether the plane is equipped with power outlets at the seats!
negative,flight agent now wandered off. Pilots came out looking for her. Went to charge her personal phone which she would been txting on
negative,waiting for flight to memphis. Incredibly rude gate agent waited until after departure time to announce delay. ( of )
negative,I do not see how I need to spend an extra $ bc of ur equipment failure.
negative,I do not need to make any changes. I reserved my seats when I bought my tickets and there was an error &amp; now there are no comp seats
negative,its and no power outlets at the seats on a hour flight to California? Seriously? This is why airlines are failing!! Pathetic!
negative,thanks kp but luckily my transfer has maintenance issues and is still delayed so I did not miss my transfer...
neutral,"No, not received any e-mails in either Inbox or junk/spam"
negative,- could you please send me a phone # to the refunds department? We have submitted our claim through email without success.
negative,"I am not this person, but I have been sitting in Denver for three hours and all I want to do is get on a plane. Please let me go home."
negative,flight on / was delayed over three hours because the pilot never showed up!
negative,I just need to get to RIC tonight. I have been in EWR for hrs now.
negative,which is why my next flights to Miami will be on another airline.
negative,It is super frustrating that the folks at the United Ticket Counter in Pittsburg are not honoring their own Media Rate!
negative,minutes after arrival and no bags for most people. UA from den to ewr. How long should we wait until a ual rep comes here?
neutral,What is the policy behind changing passengers' seating assignments at the gate?
negative,with Karen and found her unhelpful and rude called United at the time &amp; told she could board but Karen would not accept
negative,"she has crossed prior times with other carriers and no issue. Karen was rude, untrained and unhelpful I also spoke"
negative,"nexus confirmed that at any crossing via air, car or boat she can travel with only Nexus."
negative,employee yelled at her. employee stood with others whispering and pointing at her from behind counter
negative,refused boarding with Nexus. nexus confirmed she should not be refused
positive,"on a good note, the employees I encountered Newark were fabulous. I was very Late Flight for my connecting flight and they got me on!!!"
negative,u lost my bag and would not refund my bag fee? Does that make sense to you? And yes I already called cust svc. They said no.
negative,yall tried it with this little bitty plane flying out of boston!! I hate little planes!!!
positive,"doing a good thing, holding flight for a few for peeps on Late Flight connecting flight. we will still make destination on time"
neutral,Q: Just purchased ticket to for trip in Late Flight-March. Does this mean we will acquire miles based on price or distance flown?
positive,stay warm - I will be passing through Chicago next week
negative,the refund request functionality on is broken.i get a time out error.
negative,Only at Newark can you land minutes early but lose all that time waiting on tarmac for a gate.
negative,giving up on your direct flight from IAH to Honolulu. rd attempt in years - rd delay. $ meal voucher. Wow. Customer service!
neutral,"just played the Most bizarre ""safety"" video I have ever seen..."
negative,Nearly hours Late Flightr and still no idea where it is. I will never fly United again if I can help it.
negative,had wi-fi broken on plane. Had same outage on on Friday. How can Southwest get it right on every plane but United can not?
positive,WiFi onboard - far superior in pricing and performance (user-perceived bandwidth and Late Flightncy) to recent experiences.
negative,Second day &amp; attempt trying to leave IAD &amp; I am on another plane delayed for mechanical issues. Over an hour delayed!
neutral,Is there a direct number to call to request a refund? Its telling me its not valid as I changed the ticket. No number on site
negative,when is my plane coming? Been delayed for almost hours. No plane.
negative,Not fast enough. No excuse for service between big hubs to have such outdated craft. Southwest has wifi. This is awful.
positive,thankful for great service in Newark. Seats fixed and I was seated with my daughter! Fab landing in Fort Myers!
negative,my mother's flight was delayed from phl-ord. we are on our way to NRT and the gate refused to upgrade. A platinum. Blegh
negative,is Late Flight again. Everyone braved the weather and passengers are waiting for a flight crew. Really!
negative,Miserable trip ... lost bag Sat... found Mon... lost again... shipping nd day ground Tues... might have it for return flight home
negative,spending the afternoon Mia. Not your fault. No lounge? Very inconvenient.
negative,costumer service sucks! Waiting for a week for a response
neutral,Is there a way to get a copy of Feb's edition of Hemisphere magazine with out flying?
negative,I somehow think I am going to be stuck paying for a hotel room in Denver without winter clothes on my dime. I guess we will see.
neutral,"I normally ask people to put on headphones...but not toddlers. Maybe planes should have a ""kid"" section (near the back) ;)"
negative,of course I need help. I have been DMing you ladies and gents all day. Your only solution is hope for the best and LAX.
neutral,Confirmation number: NJV BP - All I need is email confirmation of flight from NYC - SFO Feb
neutral,Is Changing Its Program: Winners and Losers
positive,Brandi Zabsonre in Denver deserves a raise for bringing delight into a terrible travel situation. big ups
neutral,thank you!!!!! And next flight to Durango then driving to Farmington New Mexico for work! But hitting the slopes in Durango!
negative,"I was denied use of a rear facing car seat on UA , an ERJ . Can you confirm the actual policy?"
negative,"you better hold my flight to Tucson , just landed in Houston after an hour delay for some minor computer problem"
neutral,Thx! Stand by! a I know it is frustrating and I do appreciate your patience while we try to get you on your way. ^JHa
neutral,"roundtrip tickets to NJ are DRAMATICALLY cheaper through Virgin, pretty pricey via United. Can you match them?"
negative,"dropped off a luggage at IAD over months ago for repair from damages haven't heard anything about it since, when do I get it back?"
neutral,that is what I thought! Thanks for the clarification!
negative,feck guys. Stop Cancelled Flightling flights from EWR to RIC the weather is fine I both locations!!!
neutral,"+ UA has been rolling out improvements too, we think. Hoping they will catch up soon? Meantime, ANA is our preference!"
positive,"pleasantly surprised to find ANA has made major upgrades on their transpacific route in flights, planes and service"
negative,Step : Cancelled Flight flight. Step : do not notify customer. Step : Charge them for food while they try to survive their wait. Brilliant.
neutral,i need my confirmation number! Can you give it to me?
negative,"+ besides, no small degree of self-interest. We take that route several times a year &amp; would hate to be in that situation."
negative,. we rebooked. But and I had to split up and take different flights because a pilot ran out of hours? Frustrating.
positive,"no worries about the tweets. We all should do what we can to make sure we, as in your tag line, ""Fly the Friendly Skies."""
positive,I am thankful to the United ground staff who put me in the last seat on the last flight out. Home Late Flight is still home!
positive,I appreciate the follow up.
negative,+ that is the gist of what the flight attendant told her.
negative,BTW is it true you have to remind flight staff after checking in even after indicating meal prefer on your reservation? +
negative,"+what took me aback was the response by the flight attendant, who put the responsibility squarely back on passenger's shoulders. +"
negative,No but u cld explain how such a disorganized and inefficient company w surly and obviously unhappy employees stays in business.
negative,sat at airport for hrs still sitting at gate.. Sigh
neutral,actually we did not consider she might have made a mistake. She did not complain beyond that she indicated it on her reservation.
negative,Gold Star for united- change my flight- miss all connections- but can not accommodate me until a MUCH Late Flightr arrival time-Not HAPPY!
positive,Thank you for the new Club at O'Hare. Very comfortable. You made the difficult weather days proficient and enjoyable.
neutral,Filled in the form you sent the link to on . . and then either or . .
negative,did not let me get on the IAH-HNL direct. Now weather delay for my SFO leg. Stop being reactive and be proactive!
negative,"Bad coffee, but the juice is ok. United Terminal SFO Airport"
negative,why am i mot getting my refund?
negative,. nothing apparently. I have flown w/ you times in last weeks and of those experiences (incl today) were clusterfucks.
negative,did not get her name. She was not in our group. She was sitting behind us. Think it was window seat ? We only overheard...
negative,You know what the United Club needs? Power. MOAR power. Insufficient outlets for the (ORD)
negative,THRILLED to have my carry-on checked against my will by two nasty gate agents only to see an entire empty bin when I boarded last...
negative,what if business as usual meant dropping the bully mentality and fostering inspiration for a greater business
negative,"- Ridiculous to fly outdated s anywhere much less btwn IAH and SFO. No power ports, no Wifi, no personal entertainment. TORTURE"
negative,last night we waited forever at the gate because someone from corporate dispatch FORGOT to call the crew
negative,"Broken entertainment system on my hour NYC flight, terrible cabin crew service and online complaint form will not work"
neutral,how much does it cost to check in an additional bag? Traveling from newark to glasgow. Thank you :)
negative,. call my work and tell them it is your fault I am Late Flight
positive,"New Apple crA cent pe, amazing! Live from UA . Really nice crew too. has biscuits, UA needs them"
neutral,clicked on the link and got this?
negative,"is officially the worst, most delayed, and least helpful airline I have ever had the misfortune of flying on"
negative,i have items of sentimental value that I am heartbroken are missing
neutral,even though technically after I land I will be silver?
negative,still waiting for a reply
negative,please see a flight attendant for what? Why is not there enough room for over head bags? I carry on to save time!!!
negative,"Wanted to get my bag benefit, but instead get $ pricing on all three tickets. When adding a card, MP Visa is only option. @united"
negative,I tried DM it would not go thru... not sure why
negative,link to current status of flights/airports? Fly BWI-EWR-MCO this morning yet can not yet tell what any problems are except see snow.
negative,I like delays less than you because I am the one on the plane. Connect me with a voucher
negative,"and do not hope for me having a nicer flight some other time, try to do things right. You sold me those tickets with that connetion"
negative,"the we got into the gate at IAH on time and have given our seats and closed the flight. If you know people is arriving, have to wait"
negative,yes. We waited in line for almost an hour to do so. Some passengers just left not wanting to wait past am.
negative,still waiting. Just hit one hour.
negative,although I am not happy you Cancelled Flighted my flight home tomorrow (phx to atl then dca) I am happy on how easy it was to rebook
negative,Hello - been on hold for extremely long time. Have confirmation # &amp; can not get boarding pass. Have tried numerous times!!
neutral,"I am teaching new how to research, &amp; for a trip today!"
negative,Very frustrated for the loooooong wait time to speak to a live person!!! Cannot get boarding pass for flight tomorrow!!
negative,still no update text &amp; still no response to email fr / / SR . Feel like yr losing customer service/care
negative,your agents were the ones who were rude and unhelpful and prompted my initial tweet. This is so easy to fix.
negative,my wife had been in group A in prev. flight but got bumped for some reason. Alone with two kids. At least put her in group A
negative,my flight was delayed hrs. I am months pregnant &amp; supposed to be caring for my mom whose in surgery now. Very upset.
positive,thank you so much completely made things right!
positive,love them! Always get the best deals!
neutral,can you follow me so I can send you the info?
negative,Been on hold min so far trying to book seat for my infant. Price increased $ in meantime. What do I do?
neutral,once again on Glassdoor's Best Places To Work snagging # overall
negative,poor performance all around! Paid for Express checkin weeks ago and can not even leverage it
positive,thx. Make it right. Help Meagan Fouty Brancato fl dfw gate preboard w/kids - b group A please. Please.
neutral,can you update me on the emergency landing in Jacksonville right now?
neutral,I have been on hold for over minutes please help
neutral,can y'all develop Ding for a chrome/Firefox browser extension? That would be swell
neutral,can take u to Midway-Chicago March th-April th. can not make it then? can get u to year round.
negative,Logically you would think you check all that before you have people board. I could have drove home in the time I have been waiting
positive,thanks Southwest for saving our trip. my sweetheart is not going to miss seeing thanks to y'all!
negative,can you have someone call me back? I have been on hold two times today for over min and still haven't gotten through
neutral,did you know that suicide is the second leading cause of death among teens -
positive,"never mind, I moved my flight to tomorrow. Thanks for the help!"
neutral,. she needs a wheelchair at the gate for sure. What options does she have?
positive,I managed to get sorted out over the phone. Good luck dealing with the snow in Texas!
negative,"has grounded flights b/c of equipment problems &amp; been rude to my wife, traveling alone w/our young kids. never again."
neutral,Do you promise to not unfollow me? d
neutral,Just DMed you my confirmation number.
negative,oh look you just delayed our flight an additional half hour now arriving at officially five hours after planned. d!d!d!d!ddd
positive,weather bc of system outage. Hopefully everything goes smoothly now. Thank you for follow up
negative,belt issues. Been a rough day for them. Worst part is traveling with month old and having to wait outside in degree
neutral,"oh, is it only in Atlanta?"
negative,they were moved to the pm flight . Main concern now is luggage arriving with them. They were told that SW was having
positive,I USED to always fly Southwest.
negative,got my bags hours Late Flightr and an offer of $ to go pick them up. Taxi costs $ one way. Spent $ for the inconvenience.
negative,thx but I will be expecting a credit for this leg.
neutral,"sure, please follow me so I can do so?"
negative,"appreciate y'all getting the gate issue figured GRR. Plenty open gates, yet we sit and wait on tarmac"
negative,minutes on hold waiting is ridiculous......
negative,have u seen any of the messages the past hour ?
neutral,I am following now
positive,THANK YOU for your awesome flights. Sweetheart got screwed on managed to scramble and get a SW plane today. !!!
positive,round-trip tickets just arrived for our auction at the Post-Masters Invitational! Thanks Southwest!
negative,went to purchase a flight that I began processing not even minutes earlier and the points had gone up - any help?
negative,I am so upset that my luggage was damaged and the rude employee at the Laguardia airport did not help!
positive,tv stream means I get to spend my flight watching and Women's World Cup Finals.
neutral,what is the status of the bag check area at FFL?
positive,I would at least enjoy a free cocktail...or two.
positive,I agree! RT One airline is the fly-away favorite at DIA
negative,its flight of that matters to you all. Hell next we all will not get our luggage properly transferred
negative,your phone service sucks
neutral,"my flight at BWI is delayed and I will miss my flight in Denver, is there a way to find out if they will hold the plane?"
positive,"""Airport snow removal method .."" Keep up the good work folks, this is where Cessna's become 's!"
negative,are people in an exit row still supposed to give their verbal approvals? I was never asked on the flight I am on...
negative,and now our arrival is delayed nearly hours. Yeah an entire day in an airport is not my idea of a stress less vacation
negative,oh and now your company has caused us to lose an entire day of our vacation in Cancun. De Boarded waiting for another plane
negative,"trying to change my reservation, been on hold for minutes, and can not do it online-was directed to call. Help?"
negative,My first call got dropped. Waited mins for the second but ran out of time. Will try again Late Flightr. No way to do this online?
negative,"Yo, I am trying to make a change to a reservation but whenever I select the flight it says, ""Unable to price"". Please help!"
negative,great now we are all de boarding perfectly plane is shot. Fml. Plans are screwed. Thanks for nothing @SouthwestAir
neutral,Teyana Taylor Performing . Free Till
negative,"had to let us off the plane bc the toilets done even work! There goes my family vacay to playa del Carmen, Mexico!"
negative,thanks for the apology. Unfortunately i have had one too many bad experiences and will no longer be flying with southwest.
negative,I was told by customer service that only customer relations can extend the expiration date of my unused travel funds.
negative,over two hours now. Ugh we should all get vouchers this is inexcusable ESP after a pre flight check that was ok.
neutral,I have a : flight out of Birmingham tomorrow night. Can I reschedule it for an earlier flight because of the expected snow?
neutral,You have to follow me back so that I can DM @SouthwestAir
negative,"horrible experience, passenger of size was / in my seat, offered $ voucher for this by Christine C"
neutral,rd time flying southwest in two years. Have another trip back to mx on October.
negative,"yes, very much so! I was looking forward to using your airlines for future flights but never again."
negative,need to learn how to treat people with respect and just a little dignity.
negative,"Redeem-points packages magically gone by time we finally got through : , felt like"
negative,I think I get a faster response on Twitter than I do when I call...what is up with that?
neutral,Any idea when the winter advisory will be posted for ATL for tomorrow ( / )?? I would rather get to PHL tonight.
negative,"then had to watch the staff check off each passenger on the list TWICE, because the first time they forgot look at IDs. Brutal"
negative,"was on flight from CHI-BUF last night, almost hour delay cuz someone got on the plane without a pass - sounds safe. /"
positive,Thx for your quick response and action! bf will make good use of the voucher
negative,nothing you can do to help us restore some barely-expired points?
negative,Rapid Rewards program sold me short. but still .
negative,freezing in the plane
negative,where your airline people screwed up our boarding passes on the way back from puerto Vallarta. This is horrible and we are
negative,from groupA to group C. We have never got to sit next to each other on any south west flight not even on our honey moon
negative,flight to Atlanta getting Cancelled Flightled and then had to re schedule on the phone for over . hours with a rep this bumping us
negative,due to an apparent water issue that checked out fine during the checks my husband and I already had to deal with our first
negative,u have a lot of pissed off hungry tired people stuck at midway over hours after scheduled departure. This is inexcusable
negative,do you know that your lost baggage portal does not work on mobile? it is a
negative,"if you are going to charge for wifi, do us all a solid and make sure it does not take the length of the flight to open a page"
negative,"your website has now reverted my st flight to only a -minute delay. But it is changed, so is that reliable information?"
negative,SWA helps the hotel industry. I always book flights a day before I need to be somewhere as SWA consistent Cancelled Flights/delays.
negative,unfortunately once the call was answered service was horrid. SWA was the role-model of finger pointing &amp; excuses
neutral,Barzegar charges tourists euros [!] a night for their stay in the tent village he runs.
neutral,can you please make sense of the companion promo? How to we set it up?
neutral,unfortunately I do not even have that. My phone died before o had a chance to grab it. It was from OMA to SAN from / - /
neutral,live in Atlanta but cant enroll in your Atlanta companion promotion. Error every time. Can you help? Also sent email. Thanks!
negative,frustrating indeed especially when no one knows what the issue is....
negative,on hold with customer service; you may be quicker. I rebooked trip for a lower fare. Where did the difference in $ go?
neutral,"That was Chantilly, Paris, France."
negative,and thx for not responding
negative,I booked a flight on my phone and then never got a confirmation email. How would I go about getting that?
negative,Supposed to take off almost hours ago.... ?
negative,how come I am not getting my points after I buy from the rapid reward shopping site?
neutral,hey I am flying from Tampa to Denver today and I want to know if there will be tv's in the seats like @JetBlue
neutral,and Carol Thrower are passengers. Fort Lauderdale airport.
negative,mins and no answer. My wife and baby need to get on that flight. She arrived hrs prior. Please help. Venetia Crook
negative,my wife and month old might miss flight and next direct is pm. Mother in law been on hold with customer support for
negative,flight FLL to ATL. My wife traveling with infant. Line to check baggage people long due to your computer system crash
positive,Thanks! Sent a DM to you. Let me know if oyu need any additional information.
negative,"Hey, friends. When I phone the A-list number your IVR hangs up on me. Multiple times. Not sure how to proceed?"
positive,"strives to be 'Customer Centric' in everything they do - communications, advertising, customer journey, etc."
negative,"LA always has traffic, but this is INSANE. I can not be the only one with this issue on flight"
