airline_sentiment,clean_tweet,vader
negative,can we get an explanation on why UA from SAo Paulo to Houston has been delayed? Now we are hearing from crew about Cancelled Flightlations.,-0.4404
negative,Why was flight EWR to MCO Cancelled Flightled for tomorrow and what do I do to rebook. Asking for a relative.,-0.25
neutral,Can you tell me Jet Airways award availability?,0.5423
negative,"I understand the intent was not to inconvenience, but catching a cab back to the airport to show them wet clothes was not an option.",0.1419
neutral,What are the chances of my flight to EWR from PIT being Cancelled Flighted tomorrow?,-0.0516
neutral,rcvd promo if i booked flight silver status would be extended it was not dont have flier that was sent didnt think id need,0
negative,"wife landed in DC hrs ago. luggage did not, was told it would B delivered/Hotel by pm. it is now pm, no luggage.",-0.296
neutral,on a flight at : tomorrow.,0
negative,not sure why the people in row that paid for a premium seat can not use their overhead space...,-0.2411
negative,is so cheap they could not afford to run the AC on . They took pressure cooker to a new level.,-0.296
negative,why is it that Sundays when my husband travels to Chicago he is stuck at Tarmac &amp; misses connecting flight always,-0.4404
negative,Well I can tell you that your customer service at RDU airport is horrific but is exception at O'Hare in Chicago.,-0.2846
negative,sitting on UAL - a comedy of errors. UAL is incompetent,-0.4588
negative,"on tonight and told delayed due to Late Flight crew. No idea where crew coming from, your staff ++unhelpful. Any ideas?",-0.4767
negative,"take a look at status of , sitting at ORD ... This am not cool, yo.",-0.2411
positive,bummer but thank you for the quick response,0.3506
negative,I did not have time to take my wet clothes/suit back to the airport and was not going to pay for another cab to do so.,0.0762
negative,did not realize my bag/ contents were wet until I got to my hotel. Sent my suit/shirts out to be dry cleaned. Mtgs start tomorrow.,0
negative,"You load our plane at ORD knowing pilots are hrs Late Flight, then discover plane needs to be fueled?",0
negative,resolved and im sick and tired of waiting on you. I want my refund and I would like to speak to someone about it.,-0.4019
negative,I am really glad I just waited on the phone for over an hour to be sent to a voicemail. Your customer service sucks. Nothing has been,0.2006
negative,you just caused a riot on the airplane. Never seen anything like this,-0.6917
negative,"Instead of sending inaccurate emails about delay every min, just say we will get you there when we get you there.",-0.3182
negative,so glad I have been waiting for hour and minutes and Ive been transferred times without resolving anything. Worst service ever.,0.6601
negative,we still need help. Hung up on twice. Customer service rep said there is no way to help between the gate rep and phone rep.,0.4939
positive,"They let us know in advance of the reboot, yes :) Thanks for the attentiveness!",0.8356
negative,lol too little too Late Flight,0.4215
negative,yes. Bags came hr after I arrived at baggage claim. Awful experience on the ground at BHM,-0.0772
negative,your delay is due to your own making. We have now been back to the gate multiple times. Maybe take accountability,-0.3182
negative,Why do I have to give up my leg room so these people (not in my row) can fill the bin? Pls start charging.,0.0772
negative,please tell CLT flight needs a gate. Waiting now for mins.,0.3182
negative,Why did you load us in this flying sardine can if you knew the pilots were hours Late Flight?? beyond belief,0
neutral,booked EWR-FLL in first for two on - . let us see how you compare to the garbage first class has become,0
negative,your seats are god awful.,-0.2263
negative,good try but got her here safer and sooner,0.6858
positive,Wanted to compliment ur phone agent Jeanette for reFlight Booking Problems RDU to SEA thru SFO after connecting flight thru EWR was Cancelled Flightled.,-0.15310000000000001
negative,hour min delay so far..... Would love to round to hours to just go to bed!,0.5355
neutral,Educate Bohol is a (c)( ) w/all volunteer staff. I can help the kids or buy a plane ticket ...I can not do both. Can you help?,0.6597
neutral,"I need to get from Albuquerque, NM, USA, to Cebu, Philippines. I am providing educational help for kids. Can you help me?",0.6597
negative,I am on UA and my direct tv is not working. How do I avoid this in future?,-0.296
negative,is truly the drunk uncle of boarding. do not believe gate agent that overhead is full; do not reserve aisle,0.128
neutral,on the plane. I was thoughtful enough to ask for it and got it; there are prob others that also deserved it,0.3818
negative,any options to cos tonight? does not look like will make it in time for . Should I reserve a hotel room?,-0.3549
negative,"Appreciated, but in this case we waited an extra minutes for a lost mechanic to fax the log. Fax...like in the s.",-0.2023
neutral,S/O to for coming in clutch and finally taking me home dd,0
negative,customer service sucks! They hang up after waiting an hour and talking for minutes.,-0.4199
negative,JP - DM message who? can not get a DM through to @united,0.6523
negative,strikes again! Why board anyone if there is something wrong with the plane? Common sense.,-0.7088
negative,thanks for the miserable trip GNV&lt;&lt;&lt;FSD on . - . .,-0.0772
negative,Missed KTM flight due to ur Cancelled Flightlation. Mike supervisor disgusting. Now day Late Flight. No apology or upgrade offer to LHR from ORD???,-0.8068
neutral,left my iPad on MCO-&gt;IAD flight . How long to hear back once claim submitted? TY!,0
positive,social media team is on point on :),0.4588
negative,always happy to start my life with my new wife with a hr travel delay due to MAINTENECE and it would appear incompetence,-0.2263
negative,is the airline of the Oscars but does not carry ABC on Direct TV?!?! Fail - now I can not watch the Oscars.,-0.7713
negative,this is it... Last time I fly you screw up every trip now will be stuck in ord and miss work.,-0.4588
neutral,did not know that buying a seat in first class was just a 'request' to sit in first class! Very Interesting.,0.5081
negative,"I understand the intention, but it pales in comparison to a day of lost wages for both my wife and I because of the delay.",-0.7096
negative,I need help with a missing bag.,0.128
negative,I was. But I have given up.,0
neutral,"can I get on a stand by list from ASE to ORD? I am the only poor person in Aspen, that is why I am asking for standby on twitter.",-0.4767
negative,you changed my entire flight plan for vacation and now I will be there alone a day and night early with nowhere to stay. Help!,-0.54990000000000006
negative,UA heading back to gate bc improper load? if ur packing us to the gills should at least take care to load bags. expecting comp...,0.4939
negative,is the worst airlines sitting on the plane at Houston-bush airport now for an hour and a half waiting for Late Flight passengers,-0.6249
negative,might possibly have the worst service on the planet.,-0.6249
negative,deceptive marketing practices promised me if i booked flights i would retain my status now they are not granting. Neverflyunited,0.1376
negative,Hey so many time changes for UA . We going tonight or what? MIA - EWR,-0.4466
negative,and that it would be sent on the next flight to Hayden/steamboat (HDN) from Denver. So I am hoping its on there,0.4703
negative,and pick it up and just bring it on the shuttle. When I went to double check on that they said it was still on the concourse,0
negative,I honestly could not tell you. All I know is that originally we were going to have it brought in from the concourse,0.4588
negative,missing a day of vacation to see my husband because of this delay but stuff happens and I get that. Just wish it was handled better,0.7173
negative,UA has now had different departure times. Wtf. Make up your mind.,-0.5859
negative,thanks for making everyone wait in the dark for an hour while Newark tries to figure out which gate to go to.,0.4404
positive,thank you for following up!,0.4199
positive,Claudia in IAH terminal b travel assistance has me all set. Great service. Thank you.,0.765
neutral,is it possible to add a Known Traveler Number to my ticket after Flight Booking Problems?,-0.34
negative,"why does not my daughter, booked with my gold member miles, get on the upgrade list for her flight tomorrow?",0
neutral,If an award is no longer showing available could it possible become available again?,0.3182
neutral,flight to DFW from IAD Cancelled Flightled for mechanical can I get rental car to MDT-my origin,-0.25
neutral,can you help me get from IAH to SFO earlier tonight?,0.4019
negative,was so on point for / of my flights this past week . . But this last one really sucks shit,-0.8752
negative,and here i thought American was bad. Horrible Service. Over : min Late Flight. No excuse!,-0.8183
negative,UA IAH -&gt; SJO is delayed by like . hours. Crazy!,-0.2714
negative,I do not know my flight details bc I need to explore some options which I am unable to do bc the site will not let me.Seems to be ongoing,0
negative,How about free wifi when your flights delayed? Only mins allowed!,0.4003
neutral,I did. they told us the wrong carousel number.,-0.4215
negative,CDG-LAS hours. And my luggage is in SFO. I have been wearing the same clothes for hours. Thank you.,0.3612
negative,this airline is a joke my friends been trapped in houston since am sat and have no flight in sight,-0.0772
negative,why do you hate your passengers?,-0.5719
negative,how can a plane that has been sitting in a hanger all day have numerous mechanical problems. does not anyone actually do maintenance,-0.4019
negative,. in the future when delay causes hour wait (slept night in airport) ensuring seating choice for replacement flight would be good.,0.4019
negative,is my flight delayed? It keeps changing between delayed and not??? If delayed is checkin time Late Flightr???,-0.4756
negative,what a long day of delays. Please get us to Dallas tonight!!!! Fingers crossed!!! .,0.5374
negative,-How is it that all my flight times were changed without any official notification? Almost missed my flight this morning. Not cool!,-0.4873
negative,they had record of it being at Denver on the concourse prior to me gettin on the shuttle. I just want to confirm its location,0.0772
neutral,...would be on the next flight to Hayden/steamboat,0
negative,we needed to be at steamboat for a meeting by pm so we took a shuttle. The United customer service people said the bag would be on,0.4215
negative,there is no good word for describing how angry and pissed off of a customer you have made me.,-0.8722
negative,"Late Flight and are huge step towards decline in service, and your agents, not all, are as arrogant as ever.",-0.2263
positive,Denver baggage handlers you totally impressed us today. Our lungs barely made the run to connect but our bags had no problem!,0.657
negative,"flight to Newark, stuck in the runway. About to miss my connection and they are just sorry for my inconvenience!!!!!!",-0.7627
negative,"sitting on the runway in Newark, they will not let the plane to a gate. My connection boards in minute. hates us all.",-0.4404
positive,"thanks, it was my first time in a United lounge and felt welcomed.",0.7964
negative,". all other ANA ticket holders get to use the lounge, too. But not us. Because United booked us.",-0.4585
neutral,"Good evening, UA. Can you assist with an issue via DM?",0.4404
negative,Never had a flight delayed an hour due to an unbalanced load. And more delays at Great job idiots.,0.5367
negative,. % failure in,-0.5106
positive,can Cancelled Flight my flight anytime if this is where they keep me for the night..,-0.25
negative,"you guys suck, / delay to get out of ers and did not even have curtesy to let me know,",-0.6369
negative,"Unfortunately had a bad experience flying with you on Saturday. Inpolite crew, bad delays.",-0.8555
negative,seriously? min on the plane at bhm and now min in baggage and still no bags?,-0.504
positive,thanks for updating me about the + hour delay the exact second I got to ATL. ddd,0.15310000000000001
negative,but we are on All Nippon now (booked by United to replace the one we missed).,0.2263
negative,what is this subtlety gate changes? Are you kidding with me?,0.1926
negative,"been good yr ""friendly skies"" relationship. day agent told me I am ""only Canadian"" and thus not good enough for military preboard",0.571
negative,yes was trying to upgrade my seat. Now there are no available spots,0.128
negative,a What made you come to this? Can we help you with anything? ^JPa inconvience*,0.4696
neutral,"a What made you come to this? Can we help you with anything? ^JPa free tickets , for the i convince .",0.8105
negative,a What made you come to this? Can we help you with anything? ^JPa the service just has not been great.,-0.2392
negative,". I think not. I am not flying you again, if I can help it.",0.4019
positive,Resolved. Over hour of work on ground &amp; somehow the system reset itself during takeoff. I appreciate the quick response/service.,0.5267
negative,always a fucken nightmare with your airline. Flight,0
negative,"we were told when we checked in, as soon as we were allowed to, that there are no other seats available on the plane except middle.",-0.296
negative,EVERYTIME I fly UR airline I hate you even more ! Thanks for the terrible service on flight,-0.6012
negative,". Really? Was bumped down from Gold status, asked to pay $$ to keep it, and get fewer miles... How is that worth it?",0.2168
negative,you always surprise me with the awfulness of your airline. You guys suck.,-0.2023
negative,that I would get on early enough to not have to green tag. but no go. if not for Otis I would be still sitting at ORD,-0.4215
positive,and to add to my earlier tweet. This was my daughters th Bday present. Thank you for the hard work and making it happen.,0.2732
positive,you have a guy named Otis at ORD that knows what is. he was able to get my bag to me. I upgraded just to be sure,0.3182
negative,"tweet bots obviously do not get sarcasm, making computers more and more like real people.",0.5751
positive,"you all do a wonderful job today. Got my wife, daughter, and myself from PGH to Orlando after out flight was delayed luggage and all",0.4215
negative,customer service what is That???,0
negative,"-- overFlight Booking Problems planes, Departing delayed, Returning for 'more quick fixes' &amp; breaking out attitudy-customer service?",-0.5574
neutral,FAA invest near miss on O'Hare runway last wk:,-0.15310000000000001
negative,Pay for a cab back to the airport to show baggage dept. my wet shirts and suit is not a viable option. nd time this has happened!!,-0.2462
negative,"that is what you have said for years, you are losing customers!!!!!!",-0.5815
neutral,I am UA elite Gold and have a UA Chase pres. plus credit card. How many EQM's do I need to get Platinum Elite!,0.4389
negative,Once again your lack of customer centricity us astounding,0.128
negative,"Would be nice if partner tickets that do not provide full PQM credit are more obvious before purchase. Lost , miles",0.4767
positive,nope. Even better there were seats. And due to W&amp;B first to raise hands got to move up. I was not fast enough.,-0.3412
negative,now maintenance issues with flight and more issues with passengers that will miss connections needing to get off,-0.15310000000000001
positive,look at this beauty d dc- united airlines d Hope you like this beauty d,0.9531
negative,seriously what is with the slow on this flight! If the speed was going to change for the worse then the price should not go up!,-0.658
negative,". hours, gates, and planes Late Flightr still not an update, explanation, or apology to be had.",0.0516
negative,"your gate attendant had some snobby remarks, your customer service is like playing poker with my sisters kids!",0.2244
negative,"Poor cabin luggage service on UA to BOS, I was forced to check in even when there was empty space for bags in the overhead!",-0.8016
neutral,"when I click that link it wants my flight info. I haven't booked a flight yet. I read you waive fees for military, it this true?",0.5023
negative,"no, we still have not heard anything from anyone at or the @ErieAirport",0
negative,every time I search a flight your site logs me out and gives error message. About to book on a different airline and Cancelled Flight my card.,-0.5719
negative,so the last seg of my flight from Denver (DEN) to hayden/steamboat (HDN) for am got Cancelled Flightled and I need help finding my luggage,0.1779
negative,hours Late Flightr and I am siting on another plane waiting to leave. I think a credit is in order for this terrible service!,-0.3647
neutral,I will let you know week after next when I do another coast-coast RT again.,0
negative,We waited min for our bags after a min flight,0
negative,now let there also pls be in-flight live TV on UA DEN-EWR so I can watch the ??,0.168
negative,"has Cancelled Flighted arrival into SHV tonight &amp; the st departure flight on Mon, Feb rd. Check with your airline for flight status.",-0.25
positive,it was such a lovely part of this long day - attendants on UA (most) /UA were beyond exceptional today.,0.5859
neutral,open seats in st class on UA . Way to honor your upgrade policy for freq flyers and/or honor an employee with an upgrade.,0.7506
positive,I trust you enough to put my coat in my checked bag!,0.5562
negative,yes I have &amp; they are unsure when it would come.This has never happened on any airline and my first time with,0.1779
negative,of course. But interesting how United does not seem to have a good sense on what is happening with flight,0.9022
negative,pushing five hours and my time is worth nothing to you. reFlight Booking Problems not an option unfortunately.,0.0608
positive,"finally made it to rep, who solved my problem.",-0.15310000000000001
negative,you guys are complete ass,-0.5423
positive,thanks gate agent extraordinaire Seau Fong for helping me get re-booked out of Boise and (hopefully) home to NYC sometime tonight!,0.7959
negative,why are your agents working so slowly to rebook people who are on . We have all wasted an entire day at STT.,-0.4939
positive,Thank y'all for being an amazing airline who knows how to treat their customers. you guys rock!,0.8516
neutral,you friend's flt from ase to Denver is Cancelled Flightled for tomorrow. Can you help with rebook?,0.1779
negative,- Plane came in with broken seat. Rather than fix it they put a broken sign on it and separated me from my kids.,-0.7351
negative,worst flying experience ever and they tried to blame it on ATC?! I watched them load bags for min after boarding min Late Flight,-0.7777
neutral,used to (still do?) let you listen to flight radio...I often did...interesting to me,0
positive,went to Customer Service kiosk and they were able to help out! Still thanks for following up!,0.7339
negative,have you read your own same day travel change policy?,0
negative,"your b - w literally the smallest seats I have ever have, my dad got stuck In the tiny bathroom ad well",0.0258
neutral,AND WE GOT ZERO VOUCHERS FOR HOTEL OR CAB. I expect some SERIOUS mileage credits.,0.1197
positive,nope all set. Thx for checking.,-0.2755
negative,"my flight was already Cancelled Flightled this morning because of a ""snow storm in Denver"". And now I am in DC waiting for a pilot to get on+",-0.25
negative,still sucks. I do not understand why you have two cust service agents for a long line at Houston international b gate,-0.3612
negative,"the most frustrating flying experience. One continuous ""I dunno what time you will leave today. "". Dunno?! that is code for ...?",-0.6181
positive,"on / Denver AP, gate B (destination Santa Fe), agent Ashley did an amazing job in the face of an angry traveler. Kudos.",0.5859
negative,has an United flight ever been on time.,0.4215
negative,I would rather spend two days in the back seat of a Volkswagen than two hours on your plane!,0
negative,my flight was supposed to depart to Boston at : and now it is departing at : due to issues with finding a pilot. Thanks a lot!!,0.5399
negative,I suppose your customers enjoy screaming toddlers then. Not my problem if someone complains!,0.1406
negative,"you could give me free flights for life, and I would still choose to purchase my tickets from a competitor.",0.5106
negative,The first time I flew United was horrible thought I would give you a second chance. There will NOT be a third!,0.1511
negative,flight from san fransico to jfk was evacuated why?,0
negative,"out of Jackson, Wyoming... Delayed by no pilots.. Full toilets.. Deplaned ndary to mechanical fail.. Cancelled Flightled flight pending",-0.8225
negative,is by far THE WORST airline I have ever had the misfortune of flying with in all the countries I have flown to!!! it is outrageous!,-0.875
negative,"... I want my bag off flight , what do I do now?",0.0772
negative,thanks for causing us to miss our connection and now a hour delay,-0
neutral,I do not see where it talks about military baggage fees. Can you please guide me. Thanks,0.6369
negative,I hope you lose the next govt contract,0.0516
negative,lost my bags and there was a flight from Chi to Eri that landed over . hrs ago...yet still have zero updates??,-0.3939
negative,i will just send my confirmation number when I get home safe and sound. This is why i pay so expensive services to you!,0.4753
negative,the bag is in a state that I did not travel to and the airports do not fly to each other. Looks like it will never show,0.3612
negative,ridiculous! I have to be refunded whenever I get at my final destination or not!,-0.4738
negative,stay more than h traveling ans sleeping on the airports floor,0
negative,seriously? UA . Delayed because of the copilot is not here? For . hours and he is only flying from Raleigh? Disappointing,-0.7461
negative,seriously. This is just complete bs.,-0.1779
negative,we have been waiting for over an hour for our luggage- what gives?,0
negative,the costumer services here at Denver Intl Airport is ridiculous bad!,-0.7424
negative,Lied to my face at the gate about upgrades. Thanks.,0.0772
negative,I have proof that my situation now is due to company mistake,-0.34
negative,is synonymous to with . And . You really do not know how to value the customer,0.34
negative,I have to go back home! I have to use what the company has available. But it is unfair to stay more than h traveling,-0.6643
negative,if I miss the I will never fly united again,-0.4464
negative,is the stingiest airline. Nobody should model after them.,0
negative,"flight delayed...again...every time. ""Maintenance issues""",0
positive,I should be fine. They automatically changed my connecting flight for me so I would not miss it. A+ work.,0.3058
negative,yes... A ride home would be perfect.. A fete one would assume possible after charging $ for a domestic flight... Ps we deplaned,0.7506
neutral,I will be calling tomorrow,0
negative,and I was denied an upgrade because of catering issues???,-0.533
negative,to barrel through the sky at mph on a ton piece of metal operated by a company that can not get their tiny TVs to work!,0
negative,"heard about the voucher/miles credit for Cancelled Flighting my international flight yesterday, but I did not get an email.",0.0772
negative,maybe do not play the video about how your flights are outfitted w wifi on the flights where wifi is not working...ai,-0.2584
negative,on line baggage system complete rubbish. bag missing days. No meaningful information.,-0.4874
neutral,you still have flat tire policy. Shuttle broke down on way to ORD. Will probably miss the pm to CLE...Help please!!,-0.3987
negative,thanks. Just was able to do it on the app myself. Still not customer service to be seen in YYZ,0.4404
positive,"thx off the response, finally got through the min wait and talked to someone.",0.3612
negative,I would take the $ voucher you offered for MISCOUNTING THE # OF SEATS ON YOUR PLANE but that means I would have to fly you again,0
negative,- of First seats open on UA . No upgrades processed. Gate agents said their too busy. Not cool,-0.4874
negative,flying to las vegas out of Chicago flight is Late Flight and no announcement has been made,-0.296
negative,I believe. It was Cancelled Flighted yesterday I guess. Goes back to no notification from United about Cancelled Flightlation,-0.34
negative,"- In case you are reading this, UA , right now, D. So many oversized carryons taking up too much room. Enforce your rules.",0
negative,"is an airline where you pay extra to get a better seat but by the time you board your overbooked flight, there is no overhead space.",-0.2617
neutral,"Okay, just requested to follow.",0.2263
positive,"Thx, just DM'd. Conf #'s MQXC &amp; MPWNC . Any help appreciated",0.8176
neutral,make sure you take care of team &amp; team. We are - !!!!,0.7696
negative,"Delayed hrs flight PIT/IAD, finally board the plane, sit half hour &amp; crew is at their hrs limit &amp; we deplane. Unacceptable.",-0.5994
negative,stuck in YYZ because staff took a break? Not happy K....,-0.6121
negative,Personal Device Entertainment system is great but with app crashing every / mins I am glad it is free for now.,0.9169
negative,pls stop sending texts every mins saying my flight is delayed another mins-it is been hrs. I usually defend u but this is lame..,-0.6808
negative,"agent, ""You should use the bathroom before boarding.. Toilets onboard are full."" Oh you can expected a strongly worded email FUnited",0.2732
negative,"should hire extra customer service reps. minute wait time to ask one question? I would rather just fly another airline, thanks.",0.4404
negative,united flight UA after two delays just Cancelled Flightled no explanation &amp; no more flights to Norfolk that are not booked. Renting a car.,-0.3818
negative,I will try it. Mileage programs have historically been a lifeline for us world-hungry travelers of moderate means.,0
negative,"any way you can help me find a flight to LAS? Stuck in DIA, sat on plane hrs, now been waiting an hour for an update.",0.1779
negative,minute wait times to help with a Cancelled Flightled flight?? Help a guy out?,0.6046
negative,I was rebooked but had to take bus from Portland Maine to Boston. Told United does not cover the charge.,0.5719
neutral,there is a sector whereby it says $ in both bags...no bag allowance at all in international flight?,0
negative,You were doing so well until the PHL-SFO flight yesterday. Major miss. Unfriendly Premier cabin crew. Baggage cluster at SFO.,-0.2335
negative,"Your baggage tracking system is worthless! It tells me nothing about where the bag is, much less what your plans are to get it to me",-0.4926
negative,is offering to reroute my SFO flight to LAX. Might be geography class time.,0
negative,thank you for letting me down.My luggage is still in Denver but I am in Phl.,0.1901
negative,can you get me on the delayed flight to EWR out of YYZ at : ? No customer service to be found in airport,-0.4767
negative,flight UA after two delays. just Cancelled Flightled and no more flights to Norfolk that are not booked. Renting a car.,-0.4939
negative,"thanks for having no one to pilot my last two flights, and all but stranding me in Houston tonight. Airlines are the absolute worst",-0.743
negative,so disgusted and disappointed with united airlines luggage policies and attitude toward musicians. Unacceptable,-0.8051
negative,"missing my amazing us bank work conference, not ok. What do I do now?????",0.5514
negative,"... frozen lines on flight, not continuing due to 'passenger comfort'? Not ok, sat on the plane as long as a flight to Vegas would !",0.4199
negative,my last call your customer service agent called me back... As he was stuck on hold to air Canada.. Just hope he is booked me a flight,0.2263
negative,you left my bag in Houston last night. it is freezing cold in Memphis. Any idea on when I will see it? Off again tomorrow.,-0.1027
positive,this is why I fly ... Never have any issues,0
negative,has terrible customer service &amp; does not feel the need to notify its customers when their flights are delayed,-0.61240000000000006
negative,"I have tried and you have failed. Still no wifi ever, last row in the middle and I fly every week. Thanks for nothing.",-0.3818
positive,great flight into PVD. Smallest plane I have ever been on and smoothest landing ever!,0.6588
negative,trying to check in for tomorrow's flight. website keeps timing out. what is up?,0
negative,"yes, computer would allow me to get to San Diego quick but customer service will not help. Says can not rebook",-0.1499
negative,"says we had a weather delay in this morning. The ""weather"" did not affect any other airline.",-0.3182
neutral,Do you have Bereavement discount on airfare as my grandfather just passed and need to attend his funeral this week.,-0.3612
negative,"It was Cancelled Flightled, none of the passengers were notified. Complete violation of travelers' rights. @AerocivilCol",-0.6369
negative,thanks for ruined my vacation for having poorly maintained aircrafts that canat fly safely out of STT. Flightledflight,0.4588
neutral,in fact he received my boarding pass,0
neutral,he is traveling with me on a sep reservation number F KxB,0.0772
negative,a not something we like to hear. Hopefully our staff can resolve &amp; have you on your way ASAP. ^MLa: : &amp; still not resolved,0.3964
neutral,You must follow me in order for me to send you a direct message if that is what you meant.,0
neutral,I do not know what DM the confirmation number means.,0.0772
negative,"Waiting for EWR-ORD, delayed mins. Might miss ORD-YWG at pm CT. Any room on ORD-YWG in case I miss connex?",-0.4767
neutral,What does DM the confirmation mean???,0
negative,"- well, now finally on board hopefully we take off this time and quickly. Well over an hour delay!!",0.6351
negative,I missed my connection already. Then I missed the next flight they put me on. Now I am going to LAX instead of Hawaii. :(,-0.743
negative,reservation was made last July. I want to know why I was not reseated. This only happens on international itineraries,0.0772
negative,line full of worried customers and guy at desk says so sorry you will have to take care of your problems Late Flightr I do not have time.,-0.3488
negative,There must be people waiting in line for customer service at DEN to deal with flight Cancelled Flightations.,-0.25
negative,American never had my bags apparently. United never switched them over. Had to go back to United Baggage Service.,0.6808
negative,unacceptable. was min Late Flight for a 'missing screw' our flight to Tucson left before we even landed,-0.6808
negative,"CMH gate staff a disaster.. overbooked, no volunteers, no boarding, min Late Flight trying to figure out issue",-0.661
negative,"Waiting half an hour for my checked bag at EWR (&amp; that was Priority); disappointing, usually you guys are good.",-0.0772
negative,Are your earnings so low that checkin people have to also be on Tarmac loading bags? JAN,-0.4101
negative,"thank you for dishonoring my upgrade and putting me in a seat I did not want, all while not even notifying me. Great K service d",0.749
negative,you guys are gay,0
negative,the emails/calls over the past months about flight changes were helpful wish you would have sent them on the Cancelled Flightlation yesterday,0.5423
negative,"- so they changed depart from : to : pm &amp; it is now : pm &amp; the Capt. just got off the plane to find a smoothie, pm my ass!!!",-0.6571
positive,"Thanks so much , my passport was recovered",0.4404
negative,Thanks for nothing! No Atlanta Lounge? Your Ap says NO. Sure nothing at Terminal T,0.7491
negative,"- tick, tock, tick, tock, it is rapidly approaching the next dream departure of : pm. When is the next fantasy departure time??",0.3313
negative,it would make my day if I could take a flight on your airline without any hiccups on your end. Train your employees to communicate,0
negative,"a baby shit its pants half way through my flight and it smelled like shit, what are you going to do about this?",-0.6908
negative,"You cause me to miss my flight telling me it already left when it had not. No empathy from gate staff or crew, no apology. Really?",0.0361
negative,rescheduled my return flight from ? Uh why? Trying to call - min wait.,0
negative,is by far the worst airline ever d!d!,-0.6892
negative,no. Re-booked with American and United said they would transfer our bags to them.,0.4215
negative,I am appalled at your lack of communication during our awful journey on / EWR to BOS. hr delays need to be explained better.,-0.6597
negative,I am DMing my info and no is assisting. My flight home left before m first flight had even landed,-0.296
negative,Boston is all self service. Swipe yr own boarding pass at gate. Most difficult: Tag your own bag. Not easy!,-0.6695
neutral,Name correct on original confirmation but spelled wrong on check-in reminder. First name and MI run together. Cause for concern?,-0.5423
negative,more people would catch their flights if your attendants had more help!,0.5081
negative,"no consistency, agents say no standby with checked baggage citing FAA. Your website policy says otherwise.",-0.5267
negative,Only biz days ( calendar) to respond to my inquiry ? I hope your standards are universally adopted :-/,0.1779
negative,Thanks but why did this occur? You guys had hours extra to get my bag on due to your delay. So that is hours you had. !,-0.3164
negative,so many delays today...what is up with that? Hoping my : pm flight boards soon.,0.4215
negative,"your website is fucked up. Now instead of a $ flight I shouldave had yesterday, itas $ today. Thanks.",-0.3612
negative,called back and I have been on hold. What is the issue?! I have a confirmation number and an email that shows how much I have paid,0.1511
negative,"I am not sure how you can help. Your flight experience is terrible, planes are dirty and staff is rude. Start over perhaps?",-0.8054
negative,check in and it is still saying I haven't paid. I have called back twice was on hold for minutes then they answered and hung up. I,0
negative,hold for minutes finally got someone and they retook my form of payment and confirmed that my reservation was set. I tried to,0
neutral,"welcome to our world, that is a snow world today. Goose Bay, Labrador, Canada.",0.4588
negative,I bought a ticket yesterday and received a confirmation. Tried to check in and they said I hadn't paid for it. So I called was on,0
negative,"delayed because of salt on the floor from previous passengers? The of just just want to fly, do not care about our shoes. Ua",-0.4986
negative,"it is all about profit, and they do not really give a damn about paying customers!!!!",-0.3031
negative,I unfortunately did not get her name :( she was not nice!,-0.786
negative,what did you do with my seat. International connection. Seriously?,-0.1779
positive,thanks. Just got on a couple of minutes ago. Great service on flight btw. Please pass it to the team on that flight.,0.8519
negative,My bag is lost and I can not get ahold of anyone that can help,0.1027
negative,Then you delete my return ticket to Europe and blame me for the now show? This airline is a joke. times this happened now. times!,-0.126
negative,"When my United flight arrives Late Flight and I am told to re-book my connecting United flight, you characterize that as a ""no show""",0.6808
positive,your agents (and service) on my weekend trip have been AMAZING!!! Thank you!!,0.8482
negative,never flying United again! Worst experience ever,-0.7733
negative,"ah, so that is where the funds to fix the broken plane upon which I sat for hrs on IAH runway went.",-0.4767
neutral,tried that. Cannot figure out where to go to get it.,0
negative,cannot direct message you you do not follow us. I want my luggage. Please hep,0.3818
neutral,Did you get your Model?,0
negative,flight stranded on Tarmac in Chicago. No gates available?! Plane getting very hot and uncomfortable.,-0.6548
negative,we rebooked and disappointed we have to wait a whole day to start our vacation. At these fares United should have top notch service,0.128
negative,direct messages not going through please help,0.1872
neutral,"why not charge for nd carryon instead of checked bag? Less jockeying for overhead space, happier passengers, more ontime departures",0.5267
negative,Adding reservation to iOS app does not show up on desktop site when logged in. And miles can not be redeemed for upgrades thru your app,-0.2411
negative,I assume that would be for the other people who have been let down by United? what is worse is plane is here but crew can not fly!!,-0.1862
negative,Pushing hours on hold. Priceless.,0
positive,will do. Just need to get CVG.... and my bag too. Thanks,0.4404
negative,"read the thread. I booked st class , now seated at E even though United Twtr account confirmed Eco Premium.",0.4215
negative,Hi there bag ID is UA can you update me and explain why is occurred when I arrived hours before flight!,0
neutral,does not purchasing ticket with a united card give me priority boarding ?,0.4215
negative,"hi yes need a free hotel stay in Honalulu due to hour delayUA , since we will miss our second flight to Kauai",0.6597
negative,so what is the solution?,0.3182
negative,is screwing with my flights again at CAE? Why do you bother having flights here if they never leave on time or get Cancelled Flighted?,-0.6717
negative,no. I need you to have more than agents at check in.,0
negative,so this did not work out at all!! Incredibly unfriendly ground staff and false promises over Twitter @theairhelper,-0.1967
positive,"we got it, thanks.",0.4404
negative,The so below skilled staff and inadequate system just deleted my return from Houston to Norway. Shoulder shrugging is all you do..,-0.4019
